Name,Matches,Inns,Not Out,Runs,HS,Ave,SRate,100,50,Ct,St
JM Bairstow (Welsh),2,2,0,128,72,64.00,170.66,0,2,1,
Z Crawley (Lond),2,1,0,64,64,64.00,160.00,0,1,0,
WCF Smeed (Birm),4,4,1,164,65*,54.66,184.26,0,1,4,
Q de Kock (South),7,6,2,189,72*,47.25,178.30,0,2,7,1
HC Brook (North),5,5,1,189,62,47.25,153.65,0,1,3,
JA Simpson (North),6,5,2,141,71*,47.00,169.87,0,1,6,1
DJ Vilas (North),4,4,2,93,36,46.50,129.16,0,0,3,
LS Livingstone (Birm),7,7,2,210,68*,42.00,154.41,0,2,1,
LJ Evans (Oval),8,7,4,123,67*,41.00,151.85,0,1,5,
JJ Roy (Oval),8,7,2,186,56*,37.20,148.80,0,2,4,
MAH Hammond (Birm),7,6,3,111,44*,37.00,154.16,0,0,2,
AL Davies (South),8,7,2,172,50,34.40,136.50,0,1,6,
C Munro (Manc),7,7,2,165,45,33.00,136.36,0,0,1,
MJJ Critchley (Welsh),4,2,1,33,30*,33.00,113.79,0,0,2,
BM Duckett (Welsh),7,7,0,226,65,32.28,137.80,0,2,3,
SR Patel (Trent),8,7,2,159,46*,31.80,170.96,0,0,2,
MM Ali (Birm),6,6,0,189,59,31.50,154.91,0,1,3,
DJM Short (Trent),8,8,3,150,69*,30.00,121.95,0,2,3,
CG Benjamin (Birm),7,6,3,89,37*,29.66,156.14,0,0,2,
IA Cockbain (Welsh),5,5,2,87,32,29.00,133.84,0,0,4,
DJ Malan (Trent),8,8,1,200,62*,28.57,119.04,0,3,3,
TK Curran (Oval),8,5,2,84,34*,28.00,137.70,0,0,3,
AJ Blake (Oval),3,3,1,54,44*,27.00,138.46,0,0,2,
JA Thompson (North),2,1,0,27,27,27.00,192.85,0,0,0,
GD Phillips (Welsh),7,7,2,134,50,26.80,120.72,0,1,5,
AD Hales (Trent),8,8,1,182,40*,26.00,135.82,0,0,3,
JM Vince (South),8,7,0,180,60,25.71,126.76,0,2,2,
EJG Morgan (Lond),7,6,1,126,41,25.20,127.27,0,0,1,
