Name,Balls,Dots,Runs,Wkts,BB,Ave,4wI,5wI,SRate,Econ,
DY Pennington (Birm),15,10,11,2,2-11,5.50,0,0,7.50,73.33,
BTJ Wheal (Lond),40,23,40,6,4-17,6.66,1,0,6.66,100.00,
Wahab Riaz (Trent),20,7,30,4,4-30,7.50,1,0,5.00,150.00,
BA Raine (North),44,18,48,6,3-15,8.00,0,0,7.33,109.09,
NA Sowter (Oval),15,4,18,2,2-18,9.00,0,0,7.50,120.00,
CF Parkinson (North),15,4,19,2,2-19,9.50,0,0,7.50,126.66,
BA Stokes (North),30,13,32,3,2-24,10.66,0,0,10.00,106.66,
A Lyth (North),20,9,23,2,2-23,11.50,0,0,10.00,115.00,
AU Rashid (North),120,55,143,12,3-13,11.91,0,0,10.00,119.16,
RS Bopara (Lond),10,3,12,1,1-5,12.00,0,0,10.00,120.00,
AF Milne (Birm),95,52,97,8,3-15,12.12,0,0,11.87,102.10,
SM Curran (Oval),20,7,27,2,2-27,13.50,0,0,10.00,135.00,
M de Lange (Trent),99,37,141,10,5-20,14.10,0,1,9.90,142.42,
MW Parkinson (Manc),109,42,127,9,4-9,14.11,1,0,12.11,116.51,
JB Lintott (South),125,38,154,10,3-14,15.40,0,0,12.50,123.20,
SJ Mullaney (Trent),25,9,31,2,1-9,15.50,0,0,12.50,124.00,
RF Higgins (Welsh),15,3,16,1,1-9,16.00,0,0,15.00,106.66,
FJ Klaassen (Manc),50,18,83,5,3-23,16.60,0,0,10.00,166.00,
Rashid Khan (Trent),155,59,205,12,3-16,17.08,0,0,12.91,132.25,
JDS Neesham (Welsh),80,26,121,7,3-5,17.28,0,0,11.42,151.25,
PR Brown (Birm),65,17,105,6,3-27,17.50,0,0,10.83,161.53,
SJ Cook (Trent),50,18,70,4,2-32,17.50,0,0,12.50,140.00,
DR Briggs (South),90,32,123,7,2-17,17.57,0,0,12.85,136.66,
Mohammad Nabi (Lond),95,34,107,6,2-19,17.83,0,0,15.83,112.63,
TK Curran (Oval),122,38,179,10,3-29,17.90,0,0,12.20,146.72,
L Gregory (Trent),25,10,36,2,1-15,18.00,0,0,12.50,144.00,
ST Finn (Manc),55,17,111,6,2-22,18.50,0,0,9.16,201.81,
TW Hartley (Manc),100,41,130,7,3-27,18.57,0,0,14.28,130.00,
BAC Howell (Birm),130,42,152,8,2-12,19.00,0,0,16.25,116.92,
Qais Ahmad (Welsh),140,50,164,8,4-13,20.50,1,0,17.50,117.14,
SR Patel (Trent),129,45,169,8,3-20,21.12,0,0,16.12,131.00,
MS Crane (Lond),95,36,106,5,1-16,21.20,0,0,19.00,111.57,
M Carter (Trent),120,43,171,8,3-17,21.37,0,0,15.00,142.50,
Imran Tahir (Birm),134,37,194,9,5-25,21.55,0,1,14.88,144.77,
SP Narine (Oval),130,48,158,7,3-11,22.57,0,0,18.57,121.53,
Mujeeb Zadran (North),120,46,142,6,2-6,23.66,0,0,20.00,118.33,
BC Cullen (Lond),100,39,167,7,2-27,23.85,0,0,14.28,167.00,
T Shamsi (Oval),115,30,167,7,3-25,23.85,0,0,16.42,145.21,
LH Ferguson (Manc),80,24,111,4,2-37,27.75,0,0,20.00,138.75,
GHS Garton (South),115,46,185,6,2-22,30.83,0,0,19.16,160.86,
MM Ali (Birm),85,27,126,4,1-15,31.50,0,0,21.25,148.23,
RE van der Merwe (Lond),90,22,160,5,2-35,32.00,0,0,18.00,177.77,
CJ Jordan (South),145,36,227,7,2-32,32.42,0,0,20.71,156.55,
ME Milnes (Welsh),60,21,100,3,1-28,33.33,0,0,20.00,166.66,
DJ Willey (North),89,35,134,4,2-9,33.50,0,0,22.25,150.56,
TG Helm (Birm),82,21,168,5,2-37,33.60,0,0,16.40,204.87,
S Mahmood (Oval),120,43,173,5,2-19,34.60,0,0,24.00,144.16,
JT Ball (Welsh),50,13,70,2,1-21,35.00,0,0,25.00,140.00,
CG Harrison (Manc),50,10,70,2,2-18,35.00,0,0,25.00,140.00,
L Wood (Trent),45,16,71,2,1-19,35.50,0,0,22.50,157.77,
MJ Potts (North),80,34,110,3,1-23,36.66,0,0,26.66,137.50,
DA Payne (Welsh),125,44,222,6,3-38,37.00,0,0,20.83,177.60,
CP Wood (Lond),60,25,74,2,1-22,37.00,0,0,30.00,123.33,
JE Root (Trent),35,13,39,1,1-17,39.00,0,0,35.00,111.42,
MJJ Critchley (Welsh),70,21,118,3,1-29,39.33,0,0,23.33,168.57,
BA Carse (North),70,23,120,3,1-15,40.00,0,0,23.33,171.42,
RJW Topley (Oval),109,41,172,4,1-14,43.00,0,0,27.25,157.79,
Mohammad Aamer (Lond),77,23,132,3,2-34,44.00,0,0,25.66,171.42,
TS Mills (South),151,63,187,4,1-9,46.75,0,0,37.75,123.84,
CR Brathwaite (Manc),90,23,148,3,2-13,49.33,0,0,30.00,164.44,
T van der Gugten (Trent),15,2,51,1,1-29,51.00,0,0,15.00,340.00,
LJ Fletcher (Welsh),45,15,59,1,1-24,59.00,0,0,45.00,131.11,
CN Ackermann (Manc),45,15,61,1,1-17,61.00,0,0,45.00,135.55,
LS Livingstone (Birm),38,10,69,1,1-20,69.00,0,0,38.00,181.57,
J Clark (Oval),5,2,6,0,,,,,,120.00,
LM Reece (Lond),5,0,11,0,,,,,,220.00,
JL Denly (Lond),10,7,12,0,,,,,,120.00,
D Wiese (Lond),10,1,20,0,,,,,,200.00,
C Overton (South),20,7,22,0,,,,,,110.00,
WG Jacks (Oval),15,5,26,0,,,,,,173.33,
PR Stirling (South),28,9,32,0,,,,,,114.28,
DJM Short (Trent),20,6,35,0,,,,,,175.00,
GD Phillips (Welsh),20,7,40,0,,,,,,200.00,
LE Plunkett (Welsh),15,2,42,0,,,,,,280.00,
LA Dawson (South),39,14,47,0,,,,,,120.51,
GG White (Welsh),45,7,89,0,,,,,,197.77,
C de Grandhomme (South),40,5,92,0,,,,,,230.00,
